,item_number,general_category,product_category,page_number,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,1TS-0016-00R66,Computer Systems,Laptops / Notebooks,20,MSI,"MSI ALPHA 15 A3DD-003 Gaming and Business Laptop (AMD Ryzen 7 3750H 4-Core, 64GB RAM, 1TB m.2 SATA SSD + 2TB  HDD, 15.6"" Full HD (1920x1080)) with Loot Box , Gaming Controller , Headset",OUT OF STOCK,2398.80,0.0,https://www.newegg.com/p/1TS-0016-00R66,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_20191106322261694.jpg
1,1TS-0016-00R74,Computer Systems,Laptops / Notebooks,20,MSI,"MSI ALPHA 15 A3DD-003 Gaming and Business Laptop (AMD Ryzen 7 3750H 4-Core, 32GB RAM, 2TB m.2 SATA SSD + 2TB  HDD, 15.6"" Full HD (1920x1080)) with Loot Box , Gaming Controller , Headset",OUT OF STOCK,2638.80,0.0,https://www.newegg.com/p/1TS-0016-00R74,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_20191106322261694.jpg
2,1TS-0016-00R59,Computer Systems,Laptops / Notebooks,20,MSI,"MSI ALPHA 15 A3DD-003 Gaming and Business Laptop (AMD Ryzen 7 3750H 4-Core, 32GB RAM, 512GB m.2 SATA SSD + 2TB  HDD, 15.6"" Full HD (1920x1080)) with Loot Box , Gaming Controller , Headset",OUT OF STOCK,2278.80,0.0,https://www.newegg.com/p/1TS-0016-00R59,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_20191106322261694.jpg
3,1TS-0016-00R44,Computer Systems,Laptops / Notebooks,20,MSI,"MSI ALPHA 15 A3DD-003 Gaming and Business Laptop (AMD Ryzen 7 3750H 4-Core, 16GB RAM, 4TB  SATA SSD, 15.6"" Full HD (1920x1080), AMD Radeon RX5500M) with Loot Box , Gaming Controller , Headset",OUT OF STOCK,2578.80,0.0,https://www.newegg.com/p/1TS-0016-00R44,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_20191106322261694.jpg
4,1TS-0016-00R64,Computer Systems,Laptops / Notebooks,20,MSI,"MSI ALPHA 15 A3DD-003 Gaming and Business Laptop (AMD Ryzen 7 3750H 4-Core, 64GB RAM, 2TB  SATA SSD, 15.6"" Full HD (1920x1080), AMD Radeon RX5500M) with Loot Box , Gaming Controller , Headset",OUT OF STOCK,2458.80,0.0,https://www.newegg.com/p/1TS-0016-00R64,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_20191106322261694.jpg
5,1TS-0016-00R55,Computer Systems,Laptops / Notebooks,20,MSI,"MSI ALPHA 15 A3DD-003 Gaming and Business Laptop (AMD Ryzen 7 3750H 4-Core, 32GB RAM, 512GB m.2 SATA SSD + 1TB  HDD, 15.6"" Full HD (1920x1080)) with Loot Box , Gaming Controller , Headset",OUT OF STOCK,2230.80,0.0,https://www.newegg.com/p/1TS-0016-00R55,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_20191106322261694.jpg
6,1TS-0016-00R79,Computer Systems,Laptops / Notebooks,20,MSI,"MSI ALPHA 15 A3DD-003 Gaming and Business Laptop (AMD Ryzen 7 3750H 4-Core, 64GB RAM, 512GB m.2 SATA SSD + 1TB  HDD, 15.6"" Full HD (1920x1080)) with Loot Box , Gaming Controller , Headset",OUT OF STOCK,2470.80,0.0,https://www.newegg.com/p/1TS-0016-00R79,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_20191106322261694.jpg
7,1TS-0016-00R70,Computer Systems,Laptops / Notebooks,20,MSI,"MSI ALPHA 15 A3DD-003 Gaming and Business Laptop (AMD Ryzen 7 3750H 4-Core, 64GB RAM, 2TB m.2 SATA SSD + 1TB  HDD, 15.6"" Full HD (1920x1080)) with Loot Box , Gaming Controller , Headset",OUT OF STOCK,2650.80,0.0,https://www.newegg.com/p/1TS-0016-00R70,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_20191106322261694.jpg
8,1TS-0016-00R82,Computer Systems,Laptops / Notebooks,20,MSI,"MSI ALPHA 15 A3DD-003 Gaming and Business Laptop (AMD Ryzen 7 3750H 4-Core, 32GB RAM, 1TB  SATA SSD, 15.6"" Full HD (1920x1080), AMD Radeon RX5500M) with Loot Box , Gaming Controller , Headset",OUT OF STOCK,2218.80,0.0,https://www.newegg.com/p/1TS-0016-00R82,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_20191106322261694.jpg
9,1TS-0016-00R47,Computer Systems,Laptops / Notebooks,20,MSI,"MSI ALPHA 15 A3DD-003 Gaming and Business Laptop (AMD Ryzen 7 3750H 4-Core, 64GB RAM, 2TB  SATA SSD, 15.6"" Full HD (1920x1080), AMD Radeon RX5500M) with Loot Box , Gaming Controller , Headset",OUT OF STOCK,2638.80,0.0,https://www.newegg.com/p/1TS-0016-00R47,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_20191106322261694.jpg
