,brand,model_listing,price,shipping
0,HP,"Refurbished: HP Laptop ProBook 6460B Intel Core i5 2nd Gen 2520M (2.50 GHz) 16 GB Memory 750 GB HDD 14.0"" Windows 10 Pro 64-Bit",$301.99,$3.99 Shipping
1,HP,"Refurbished: HP A Grade Laptop EliteBook 840 G2 Intel Core i5 5th Gen 5300U (2.30 GHz) 8 GB Memory 500 GB HDD Intel HD Graphics 5500 14.0"" Windows 10 Pro 64-Bit (Multi-Language Support English / Spanish)",$370.99,$2.99 Shipping
2,DELL,"Refurbished: DELL Laptop Latitude E6410 Intel Core i5 1st Gen 450M (2.40 GHz) 8 GB Memory 128 GB SSD 14.1"" Windows 10 Pro 64-Bit",$225.99,$3.99 Shipping
3,DELL,"Refurbished: DELL Laptop Latitude E5420 Intel Core i5 2nd Gen 2520M (2.50 GHz) 8 GB Memory 750 GB HDD 14.0"" Windows 10 Home 64-Bit",$282.99,$3.99 Shipping
4,HP,"Refurbished: HP Laptop 8460P Intel Core i5 2nd Gen 2520M (2.50 GHz) 8 GB Memory 240 GB SSD Intel HD Graphics 3000 14.0"" Windows 10 Pro 64-Bit",$297.99,Free Shipping
5,HP,"Refurbished: HP Laptop EliteBook 8470P Intel Core i5 3rd Gen 3320M (2.60 GHz) 16 GB Memory 750 GB HDD 14.0"" Windows 10 Pro 64-Bit",$350.99,Free Shipping
6,DELL,"Refurbished: DELL Laptop E6440 Intel Core i5 4310M (2.70 GHz) 8 GB Memory 1000 SSD 14.0"" Windows 10",$445.99,$2.99 Shipping
7,HP,"Refurbished: HP Laptop 850 G3 Intel Core i5 6300U (2.40 GHz) 8 GB Memory 1000 SSD 15.6"" Windows 10",$634.99,$2.99 Shipping
8,HP,"Refurbished: HP Laptop 850 G3 Intel Core i5 6300U (2.40 GHz) 16 GB Memory 1000 SSD 15.6"" Windows 10",$667.99,$2.99 Shipping
9,Lenovo,"Refurbished: Lenovo Laptop T440P Intel Core i5 4300M (2.60 GHz) 8 GB Memory 1000 SSD 14.0"" Windows 10",$447.99,$2.99 Shipping
10,Lenovo,"Refurbished: Lenovo Laptop X240 Intel Core i5 4300U (1.90 GHz) 8 GB Memory 1000 SSD 14.0"" Windows 10",$441.99,$2.99 Shipping
11,DELL,"Refurbished: DELL Laptop Latitude E6330 Intel Core i5 3320M (2.60 GHz) 16 GB Memory 750 GB HDD 13.3"" Windows 10 Pro 64-Bit",$361.99,$3.99 Shipping
12,HP,"Refurbished: HP Laptop Folio 1040 G3 Intel Core i5 6200U (2.30 GHz) 8 GB Memory 256 SSD 14.0"" Windows 10",$357.99,$2.99 Shipping
13,DELL,"Refurbished: DELL Laptop Latitude E6330 Intel Core i5 3210M (2.50 GHz) 12 GB Memory 128 GB SSD 13.3"" Windows 10 Pro 64-Bit",$313.99,$3.99 Shipping
14,HP,"Refurbished: HP Laptop EliteBook 8440P Intel Core i5 1st Gen 520M (2.40 GHz) 8 GB Memory 128 GB SSD 14.1"" Windows 10 Pro 64-Bit",$245.99,$2.99 Shipping
15,DELL,"Refurbished: DELL Laptop E6420 Intel Core i5 2nd Gen 2520M (2.50 GHz) 8 GB Memory 120 GB SSD 14.0"" Windows 7 Professional 64-Bit",$299.99,$2.99 Shipping
16,DELL,"Refurbished: DELL Laptop Latitude E6420 Intel Core i5 2520M (2.50 GHz) 6 GB Memory 240 GB SSD Intel HD Graphics 3000 14.0"" Windows 10 Home 64-Bit",$301.99,$2.99 Shipping
17,DELL,"Refurbished: DELL Laptop E6420 Intel Core i5 2nd Gen 2520M (2.50 GHz) 8 GB Memory 1 TB HDD 14.0"" Windows 7 Professional 64-Bit",$307.99,$2.99 Shipping
18,DELL,"Refurbished: DELL Laptop Latitude E6420 Intel Core i5 2nd Gen 2520M (2.50 GHz) 8 GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-Bit",$306.99,$2.99 Shipping
19,DELL,"Refurbished: DELL Laptop E6420 Intel Core i5 2.50 GHz 4 GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-Bit",$288.99,$2.99 Shipping
20,DELL,"Refurbished: DELL Laptop E6420 Intel Core i5 2nd Gen 2520M (2.50 GHz) 16 GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-Bit",$366.99,$2.99 Shipping
21,Lenovo,"Refurbished: Lenovo Laptop T430 Intel Core i5 3210M (2.50 GHz) 12 GB Memory 128 GB SSD 14.0"" Windows 10 Pro 64-Bit",$339.99,$2.99 Shipping
22,Lenovo,"Refurbished: Lenovo Laptop T440P Core i7 4600M (2.90 GHz) 16 GB Memory 1000 SSD 14.0"" Windows 10",$519.99,$2.99 Shipping
23,Lenovo,"Refurbished: Lenovo Laptop T440P Core i7 4600M (2.90 GHz) 8 GB Memory 1000 SSD 14.0"" Windows 10",$472.99,$2.99 Shipping
