,product_category,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,Laptops / Notebooks,DELL,"Dell XPS 13 9360 13.3"" Customized Ultrabook | Intel Core i5-7200U | 8GB RAM 512GB SSD | Full HD Touchscreen | Backlit Keyboard | 802.11ac | Windows 10 Home Silver | Only 2.6lb",,915.58,0.0,https://www.newegg.com/p/1TS-000A-07195,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_201911221434672592.jpg
1,Laptops / Notebooks,MSI,"MSI Laptop PS Series PS63 Modern Intel Core i7 8th Gen 8565U (1.80 GHz) 16 GB Memory 1TB  SSD NVIDIA GeForce GTX 1050 Ti Max-Q 15.6"" Windows 10 Home 64-bit",,1045.0,0.0,https://www.newegg.com/gray-xotic-pc-ps63-modern-008-everyday-value/p/2WC-000C-00RW2,//c1.neweggimages.com/ProductImageCompressAll300/AAPK_1_202001301704303887.jpg
2,Laptops / Notebooks,DELL,"Dell Inspiron 14 3000 Notebook, 14"" HD Display, Intel Core i5-1035G4 Upto 3.7GHz, 8GB RAM, 256GB NVMe SSD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro S","Due to holiday observance, orders placed between 4/7 – 4/19 will experience shipping delays",599.0,0.0,https://www.newegg.com/black-textured-dell-inspiron-14-3000/p/1TS-000A-07BJ9,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_20191223231199103.jpg
3,Laptops / Notebooks,Lenovo,"Lenovo IdeaPad S145 Notebook, 15.6"" HD Display, AMD A6-9225 Upto 3.0GHz, 8GB RAM, 256GB NVMe SSD + 1TB HDD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro","Due to holiday observance, orders placed between 4/7 – 4/19 will experience shipping delays",469.99,0.0,https://www.newegg.com/black-textured-lenovo-ideapad-s145/p/1TS-000E-0F8M0,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_20191031340748.jpg
4,Laptops / Notebooks,DELL,"Dell i3583-5763BLK-PUS 15.6"" Touch screen Laptop i5-8265U 8GB 256GB SSD + 1TB HDD Bluetooth Webcam Windows 10 in S mode - Black",,1739.97,0.0,https://www.newegg.com/black-dell-inspiron-15/p/1TS-000A-077S9,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A9H5S191218qiKwy.jpg
5,Laptops / Notebooks,ASUS,"ASUS Laptop ZenBook UX533FN-RH54 Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 512 GB SSD NVIDIA GeForce MX150 15.6"" Windows 10 Home 64-bit","Due to holiday observance, orders placed between 4/7 – 4/19 will experience shipping delays",809.99,0.0,https://www.newegg.com/dark-royal-blue-asus-zenbook-ux533fn-rh54-mainstream/p/N82E16834235141,//c1.neweggimages.com/ProductImageCompressAll300/34-235-141-V31.jpg
6,Laptops / Notebooks,ASUS,"ASUS ZenBook Pro Duo UX581 15.6"" 4K UHD NanoEdge Bezel Touch, Intel Core i7-9750H, 16 GB RAM, 2 TB PCIe SSD, GeForce RTX 2060, Innovative ScreenPad Plus, Windows 10 Pro - UX581GV-XB74T, Celestial Blue",,3099.99,0.0,https://www.newegg.com/celestial-blue-asus-zenbook-pro-duo-ux581gv-xb74t-gaming-entertainment/p/1TS-001A-021N4,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A7ABS200211cPDFy.jpg
7,Laptops / Notebooks,Lenovo,"Lenovo IdeaPad S145 Notebook, 15.6"" HD Display, AMD A6-9225 Upto 3.0GHz, 8GB RAM, 128GB NVMe SSD + 1TB HDD, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home","Due to holiday observance, orders placed between 4/7 – 4/19 will experience shipping delays",399.99,0.0,https://www.newegg.com/black-textured-lenovo-ideapad-s145/p/1TS-000E-0F8R3,//c1.neweggimages.com/ProductImageCompressAll300/AEYA_1_20191031309523939.jpg
8,Laptops / Notebooks,ASUS,"ASUS ZenBook 14 Ultra-Slim Laptop 14"" Full HD 4-Way NanoEdge Bezel, AMD R7 3700U CPU, 8 GB RAM, 512 GB PCIe SSD, NumberPad, Windows 10 - UM433DA-DH75, Icicle Silver",,949.0,0.0,https://www.newegg.com/icicle-silver-asus-zenbook-um433da-dh75-mainstream/p/1TS-001A-02218,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A7ABS200215s4FTo.jpg
9,Laptops / Notebooks,Lenovo,"Lenovo ThinkPad E495 20NE0002US 14"" FHD Laptop Ryzen 5 3500U 8GB 256GB SSD W10P",,659.99,0.0,https://www.newegg.com/black-lenovo-thinkpad-e495-20ne0002us/p/2WC-000J-008F8,//c1.neweggimages.com/ProductImageCompressAll300/A0ZX_1_201906051359973975.jpg
10,Laptops / Notebooks,ASUS,"ASUS ZenBook 14 Ultra-Slim Laptop 14"" Full HD 4-Way NanoEdge Bezel, AMD R7 3700U CPU, 8 GB RAM, 1 TB PCIe SSD, NumberPad, Windows 10 - UM433DA-DH75, Icicle Silver",,1099.0,0.0,https://www.newegg.com/icicle-silver-asus-zenbook-um433da-dh75-mainstream/p/1TS-001A-021N8,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A7ABS200211AMMij.jpg
11,Laptops / Notebooks,Lenovo,"Lenovo IdeaPad 130 Laptop, 15.6"" HD Display, AMD A9-9425 Upto 3.70GHz, 4GB RAM, 256GB SSD, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro","Due to holiday observance, orders placed between 4/7 – 4/19 will experience shipping delays",469.99,0.0,https://www.newegg.com/black-lenovo-ideapad-130-mainstream/p/1TS-000E-0DBA6,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_201904091098767863.jpg
12,Laptops / Notebooks,Lenovo,"Lenovo ThinkPad L380 Notebook, 13.3"" IPS FHD Display, Intel Quad Core i5-8250u Upto 3.4GHz, 8GB RAM, 256GB NVME SSD, USB 3.1, USB C, HDMI, Windows 10 Pro",,739.99,0.0,https://www.newegg.com/black-lenovo-thinkpad-l340/p/1TS-000E-0HRP1,//c1.neweggimages.com/ProductImageCompressAll300/A65E_1_202002191695005749.jpg
13,Laptops / Notebooks,MSI,"MSI Laptop Intel Core i7 8565U (1.80 GHz) 16 GB Memory 512 GB SSD NVIDIA GeForce GTX 1050 Ti 15.6"" Windows 10",,917.0,0.0,https://www.newegg.com/msi-ps-series-ps63-modern-008/p/N82E16834155343,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-155-343-V01.jpg
