,product_category,brand,model_specifications,current_promotions,price,shipping,page_number,product_links,image_link
0,Laptops / Notebooks,HP,"HP 17.3"" HD+ Customized Laptop | Quad-Core Intel Core i5-8265U Mobile Processor | 8GB RAM 128GB SSD | DVD-RW | HDMI | Wifi | Bluetooth | Windows 10 Black",,673.53,Free Shipping,1,https://www.newegg.com/p/1TS-000D-07266?Item=9SIAJZDAK03926,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20191115704199485.jpg
1,Laptops / Notebooks,HP,"HP 17.3"" HD+ Customized Laptop | Quad-Core Intel Core i5-8265U Mobile Processor | 12GB RAM 128GB SSD | DVD-RW | HDMI | Wifi | Bluetooth | Windows 10 Black",,705.23,Free Shipping,1,https://www.newegg.com/p/1TS-000D-07269?Item=9SIAJZDAK03929,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20191115704199485.jpg
2,Laptops / Notebooks,HP,"HP 17.3"" HD+ Customized Laptop | Quad-Core Intel Core i5-8265U Mobile Processor | 8GB RAM 512GB SSD | DVD-RW | HDMI | Wifi | Bluetooth | Windows 10 Black",,736.93,Free Shipping,1,https://www.newegg.com/p/1TS-000D-07262?Item=9SIAJZDAK03919,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20191115704199485.jpg
3,Laptops / Notebooks,HP,"HP 17.3"" HD+ Customized Laptop | Quad-Core Intel Core i5-8265U Mobile Processor | 12GB RAM 512GB SSD | DVD-RW | HDMI | Wifi | Bluetooth | Windows 10 Black",,768.62,Free Shipping,1,https://www.newegg.com/p/1TS-000D-07263?Item=9SIAJZDAK03923,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20191115704199485.jpg
4,Laptops / Notebooks,HP,"HP 17 Business Laptop - Windows 10 Pro - Intel Quad-Core i5-8250U, 16GB RAM, 1TB HDD, 17.3"" HD+ (1600x900) Display,  SD Card Reader, DVD+-RW Burner",,"1,209.99",Free Shipping,1,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03GV8?Item=9SIA8TK8UA9112,//c1.neweggimages.com/ProductImageCompressAll300/A8TK_1_2019030158504158.jpg
5,Laptops / Notebooks,HP,"HP 17.3"" HD+ Customized Premium Laptop | Intel Core i5-7200U Processor | 8GB RAM 500GB HDD | DVD-RW | Backlit Keyboard | HDMI | Windows 10 Black",,685.75,Free Shipping,1,https://www.newegg.com/p/1TS-000D-072F8?Item=9SIAJZDAK05053,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_201911151141222203.jpg
6,Laptops / Notebooks,HP,"HP 17.3"" HD+ Customized Premium Laptop | Intel Core i5-7200U Processor | 16GB RAM 512GB SSD 500GB HDD | DVD-RW | Backlit Keyboard | HDMI | Windows 10 Black",,812.25,Free Shipping,1,https://www.newegg.com/p/1TS-000D-072P9?Item=9SIAJZDAK05126,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_201911151141222203.jpg
7,Laptops / Notebooks,HP,"HP 17.3"" HD+ Customized Laptop | Quad-Core Intel Core i5-8265U Mobile Processor | 16GB RAM 256GB SSD | DVD-RW | HDMI | Wifi | Bluetooth | Windows 10 Black",,760.70,Free Shipping,1,https://www.newegg.com/p/1TS-000D-07265?Item=9SIAJZDAK03925,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20191115704199485.jpg
8,Laptops / Notebooks,HP,"HP 17.3"" HD+ Customized Laptop | Quad-Core Intel Core i5-8265U Mobile Processor | 12GB RAM 256GB SSD | DVD-RW | HDMI | Wifi | Bluetooth | Windows 10 Black",,729.00,Free Shipping,1,https://www.newegg.com/p/1TS-000D-07259?Item=9SIAJZDAK03916,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20191115704199485.jpg
9,Laptops / Notebooks,HP,"HP 17.3"" HD+ Customized Laptop | Quad-Core Intel Core i5-8265U Mobile Processor | 16GB RAM 512GB SSD | DVD-RW | HDMI | Wifi | Bluetooth | Windows 10 Black",,800.32,Free Shipping,1,https://www.newegg.com/p/1TS-000D-07270?Item=9SIAJZDAK03930,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20191115704199485.jpg
