,item_number,general_category,product_category,page_number,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,1TS-00AY-00069,Computer Systems,Laptops / Notebooks,10,EVOO,"EVOO Gaming LP5 Gaming Notebook, 15.6"" 144Hz FHD Display, Intel Core i7-9750H Upto 4.5GHz, 16GB RAM, 256GB NVMe SSD, Geforce GTX 1660 Ti, HDMI, Mini DisplayPort, Wi-Fi, BT, Windows 10 Pro",OUT OF STOCK,1099.99,0.0,https://www.newegg.com/black-evoo-gaming-lp5/p/1TS-00AY-00069?Item=9SIAA0SAYA5586,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_202001221909532613.jpg
1,1TS-000E-0J2N1,Computer Systems,Laptops / Notebooks,10,Lenovo,"Lenovo Flex 15 Home and Business Laptop (Intel i7-10510U 4-Core, 16GB RAM, 128GB m.2 SATA SSD + 1TB  HDD, 15.6"" Touch  Full HD (1920x1080), NVIDIA MX230, Fingerprint, Wifi, Bluetooth, Win 10 Home)",OUT OF STOCK,1219.0,0.0,https://www.newegg.com/p/1TS-000E-0J2N1?Item=9SIA7ABB998995,//c1.neweggimages.com/ProductImageCompressAll300/V2X1D200328235IA.jpg
2,1TS-001A-025B5,Computer Systems,Laptops / Notebooks,10,ASUS,"ASUS VivoBook S512FL School and Business Laptop (Intel i7-10510U 4-Core, 16GB RAM, 256GB m.2 SATA SSD + 1TB  HDD, 15.6"" Full HD (1920x1080), NVIDIA MX250, Wifi, Bluetooth, Webcam, Win 10 Home)",OUT OF STOCK,1219.0,0.0,https://www.newegg.com/p/1TS-001A-025B5?Item=9SIA7ABB9M9664,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_202004021842128910.jpg
3,1TS-001A-025C0,Computer Systems,Laptops / Notebooks,10,ASUS,"ASUS VivoBook S512FL School and Business Laptop (Intel i7-10510U 4-Core, 16GB RAM, 256GB m.2 SATA SSD + 2TB  HDD, 15.6"" Full HD (1920x1080), NVIDIA MX250, Wifi, Bluetooth, Webcam, Win 10 Home)",OUT OF STOCK,1249.0,0.0,https://www.newegg.com/p/1TS-001A-025C0?Item=9SIA7ABB9M9669,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_202004021842128910.jpg
4,1TS-001A-025A7,Computer Systems,Laptops / Notebooks,10,ASUS,"ASUS VivoBook S512FL School and Business Laptop (Intel i7-10510U 4-Core, 16GB RAM, 128GB m.2 SATA SSD + 1TB  HDD, 15.6"" Full HD (1920x1080), NVIDIA MX250, Wifi, Bluetooth, Webcam, Win 10 Home)",OUT OF STOCK,1169.0,0.0,https://www.newegg.com/p/1TS-001A-025A7?Item=9SIA7ABB9M9656,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_202004021842128910.jpg
5,1TS-000E-0J2F8,Computer Systems,Laptops / Notebooks,10,Lenovo,"Lenovo Flex 15 Home and Business Laptop (Intel i7-10510U 4-Core, 16GB RAM, 128GB PCIe SSD + 1TB  HDD, 15.6"" Touch  Full HD (1920x1080), NVIDIA MX230, Fingerprint, Wifi, Bluetooth, Webcam, Win 10 Home)",OUT OF STOCK,1219.0,0.0,https://www.newegg.com/p/1TS-000E-0J2F8?Item=9SIA7ABB998939,//c1.neweggimages.com/ProductImageCompressAll300/V2X1D200328235IA.jpg
6,1TS-001A-025C8,Computer Systems,Laptops / Notebooks,10,ASUS,"ASUS VivoBook S512FL School and Business Laptop (Intel i7-10510U 4-Core, 16GB RAM, 256GB PCIe SSD + 2TB  HDD, 15.6"" Full HD (1920x1080), NVIDIA MX250, Wifi, Bluetooth, Webcam, 1xUSB 3.1, Win 10 Home)",OUT OF STOCK,1099.0,0.0,https://www.newegg.com/p/1TS-001A-025C8?Item=9SIA7ABB9M9677,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_202004021842128910.jpg
7,1TS-001A-02574,Computer Systems,Laptops / Notebooks,10,ASUS,"ASUS VivoBook S512FL School and Business Laptop (Intel i7-10510U 4-Core, 16GB RAM, 256GB PCIe SSD + 2TB  HDD, 15.6"" Full HD (1920x1080), NVIDIA MX250, Wifi, Bluetooth, Webcam, 1xUSB 3.1, Win 10 Pro)",OUT OF STOCK,1249.0,0.0,https://www.newegg.com/p/1TS-001A-02574?Item=9SIA7ABB9M9623,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_202004021842128910.jpg
8,1TS-001A-025B6,Computer Systems,Laptops / Notebooks,10,ASUS,"ASUS VivoBook S512FL School and Business Laptop (Intel i7-10510U 4-Core, 16GB RAM, 128GB PCIe SSD + 1TB  HDD, 15.6"" Full HD (1920x1080), NVIDIA MX250, Wifi, Bluetooth, Webcam, 1xUSB 3.1, Win 10 Home)",OUT OF STOCK,1169.0,0.0,https://www.newegg.com/p/1TS-001A-025B6?Item=9SIA7ABB9M9665,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_202004021842128910.jpg
9,1TS-001A-025C3,Computer Systems,Laptops / Notebooks,10,ASUS,"ASUS VivoBook S512FL School and Business Laptop (Intel i7-10510U 4-Core, 16GB RAM, 256GB PCIe SSD + 1TB  HDD, 15.6"" Full HD (1920x1080), NVIDIA MX250, Wifi, Bluetooth, Webcam, 1xUSB 3.1, Win 10 Home)",OUT OF STOCK,1069.0,0.0,https://www.newegg.com/p/1TS-001A-025C3?Item=9SIA7ABB9M9672,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_202004021842128910.jpg
