,brand,model_listing,price,shipping
0,DELL,"Refurbished: DELL Laptop Precision 7510 Core i7 6820HQ (2.70 GHz) 16 GB Memory 480 SSD 15.6"" Windows 10",$559.99,$2.99 Shipping
1,Lenovo,"Refurbished: Lenovo Grade A ThinkPad T450 14.0"" Laptop Intel Core i5 5th Gen 5300U (2.30 GHz) 16 GB DDR3L 500 GB WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$446.99,$2.99 Shipping
2,HP,"Refurbished: HP Grade A Elitebook Folio 9480M 14.0"" Laptop Intel Core i5 4th Gen 4310U (2.00 GHz) 16 GB DDR3L 500 GB WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",$414.99,$2.99 Shipping
3,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T440P Laptop, Intel Core I5 4300M 2.6GHz, 8G DDR3L, 500G, WIFI, DVD, 14INCH , Win 10 Pro 64-bit Multi-Language, 1 Year Warranty",$364.99,$2.99 Shipping
4,HP,"Refurbished: HP Laptop 820 G1 Intel Core i5 4300U (1.90 GHz) 8 GB Memory 1000 SSD 14.0"" Windows 10",$428.99,Free Shipping
5,HP,"Refurbished: HP Laptop 820 G2 Core i7 5600U (2.60 GHz) 8 GB Memory 1000 SSD 12.5"" Windows 10",$472.99,$2.99 Shipping
6,DELL,"Refurbished: DELL Laptop E5570 Core i7 6600U (2.60 GHz) 16 GB Memory 1000 SSD 15.6"" Windows 10",$774.99,$2.99 Shipping
7,HP,"Refurbished: Refurbished HP Grade A Zbook 15 G2, Intel Core I7-4810MQ 2.8 GHz, 16GB Memory, 1T SSD, DVDRW, 1G GDDR5 DG, WIFI, Windows 10 Pro 64-bit (Multi-language), 1 Year Warranty",$699.99,$2.99 Shipping
8,Lenovo,"Refurbished: Refurbished Lenovo Grade A ThinkPad T440P Laptop, Intel Core I5 4300M 2.6GHz, 8G DDR3L, 1T SSD, WIFI, DVD, 14INCH , Win 10 Home 64-bit Multi-Language, 1 Year Warranty",$480.99,$2.99 Shipping
9,DELL,"Refurbished: DELL Laptop E6540 Core i7 4600M (2.90 GHz) 16 GB Memory 1000 SSD 14.0"" Windows 10",$599.99,$2.99 Shipping
