,item_number,brand,model_listing,price,current_promotions,shipping,product_links,image_link
0,Item=N82E16834233287,GIGABYTE,"GIGABYTE AERO 15 Classic-YA-F74ADP Core i7-9750H NVIDIA GeForce RTX 2080 Max-Q 16 GB Memory 512 SSD Intel SSD Win 10 Pro High-End 15.6"" FHD 144 Hz Gaming Laptop","$2,299.00",,Free Shipping,https://www.newegg.com/p/N82E16834233287?Item=N82E16834233287,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-233-287-V14.jpg
1,Item=N82E16834316760,Acer America,"Acer Laptop Aspire 5 A515-54G-54QQ Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 512 GB SSD NVIDIA GeForce MX250 15.6"" Windows 10 Home 64-bit (Only @ Newegg)",$599.99,"Save $10 w/ Win10 Pro upgrade combo purchase, limited offer",Free Shipping,https://www.newegg.com/charcoal-black-acer-aspire-5-a515-54g-54qq-mainstream/p/N82E16834316760?Item=N82E16834316760,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-316-760-V10.jpg
2,Item=N82E16834316901,Acer America,"Acer Laptop Aspire 5 A515-54-55AA Intel Core i5 10th Gen 10210U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 15.6"" Windows 10 Home 64-bit",$559.99,"Save $10 w/ Win10 Pro upgrade combo purchase, limited offer",Free Shipping,https://www.newegg.com/silver-acer-aspire-5-a515-54-55aa/p/N82E16834316901?Item=N82E16834316901,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-316-901-V01.jpg
3,Item=1TS-001A-010U1,ASUS,"Asus TUF Gaming Laptop, 15.6"" Full HD IPS-Type, Intel Core i7-9750H, GeForce GTX 1650, 8 GB DDR4, 512 GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, TUF505GT-AH73 Notebook PC Computer",$849.99,,Free Shipping,https://www.newegg.com/metal-tank-gray-asus-tuf-gaming-tuf505gt-ah73-gaming-entertainment/p/1TS-001A-010U1?Item=1TS-001A-010U1,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/1TS-001A-010U1-S01.jpg
4,Item=N82E16834235247,ASUS,"ASUS VivoBook S15 S532 Thin & Light 15.6” FHD, Intel Core i7-8565U CPU, 8GB DDR4 RAM, PCIe NVMe 512GB SSD, Windows 10 Home, S532FA-SB77, Transparent Silver",$749.99,"Save $20 w/ Win10 Pro upgrade purchase, limited offer",Free Shipping,https://www.newegg.com/transparent-silver-asus-vivobook-s15-s532fa-sb77-mainstream/p/N82E16834235247?Item=N82E16834235247,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-247-V17.jpg
5,Item=N82E16834235286,ASUS,"ASUS ZenBook 15 Ultra-Slim Laptop 15.6"" 4K UHD NanoEdge Bezel, Intel Core i7-10510U, 16 GB RAM, 1 TB PCIe SSD, GeForce GTX 1650, Innovative ScreenPad 2.0, Windows 10 Pro, UX534FTC-NH76, Royal Blue","$1,349.99","Save $20 w/ Win10 Pro upgrade purchase, limited offer",Free Shipping,https://www.newegg.com/royal-blue-asus-zenbook-ux534ftc-nh76-gaming-entertainment/p/N82E16834235286?Item=N82E16834235286,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-286-V19.jpg
6,Item=N82E16834235252,ASUS,"ASUS VivoBook S15 S532 Thin & Light 15.6"" FHD, Intel Core i7-8565U CPU, GeForce MX250, 8 GB DDR4 RAM, 256 GB PCIe NVMe SSD, IR Camera, Windows 10 Home, S532FL-EB71, Transparent Silver",$799.99,"Save $20 w/ Win10 Pro upgrade purchase, limited offer",Free Shipping,https://www.newegg.com/transparent-silver-metal-asus-vivobook-s15-s532fl-eb71-mainstream/p/N82E16834235252?Item=N82E16834235252,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-252-V15.jpg
7,Item=N82E16834235175,ASUS,"ASUS ZenBook S13 Ultra Thin & Light Laptop 13.9"" FHD, Intel Core i7-8565U CPU, GeForce MX150, 8 GB RAM, 512 GB PCIe SSD, Windows 10 Pro, Silver Blue, UX392FN-XS71",$999.99,"Save $279.99 w/ ASUS Zenfone Max (value of $299.99) combo purchase, limited offer",Free Shipping,https://www.newegg.com/utopia-blue-asus-zenbook-ux392fn-xs71-mainstream/p/N82E16834235175?Item=N82E16834235175,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-175-V19.jpg
8,Item=N82E16834155344,MSI,"MSI Laptop PS Series PS42 Modern-074 Intel Core i7 8th Gen 8550U (1.80 GHz) 16 GB Memory 256 GB NVMe SSD NVIDIA GeForce GTX 1050 Max-Q 14.0"" Windows 10 Home 64-bit",$899.99,,Free Shipping,https://www.newegg.com/grey-with-blue-diamond-cut-msi-ps-series-ps42-modern-074/p/N82E16834155344?Item=N82E16834155344,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-155-344-V10.jpg
9,Item=N82E16834235321,ASUS,"ASUS VivoBook S14 S432 Thin and Light 14"" FHD, Intel Core i7-8565U CPU, 8 GB RAM, 512 GB PCIe NVMe SSD, IR Camera, Windows 10 Home, S432FA-AB74, Transparent Silver",$749.99,"Save $20 w/ Win10 Pro upgrade purchase, limited offer",Free Shipping,https://www.newegg.com/transparent-silver-asus-vivobook-s14-s432-mainstream/p/N82E16834235321?Item=N82E16834235321,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8X5S2001298HDjt.jpg
