,item_number,general_category,product_category,page_number,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,1TS-000E-09AF1,Computer Systems,Laptops / Notebooks,6,Lenovo,"2018 Lenovo ThinkPad T480s Windows 10 Pro Laptop - Intel Core i7-8650U, 16GB RAM, 180GB SSD, 14"" IPS FHD 1920x1080 Matte Display, Fingerprint Reader, 4G LTE WWAN,  Black",,1869.99,0.0,https://www.newegg.com/p/1TS-000E-09AF1?Item=9SIA8TK7ZM6476,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/V0E4_1_20190130807883272.jpg
1,1TS-000E-07T18,Computer Systems,Laptops / Notebooks,6,Lenovo,"Lenovo ThinkPad T470s Windows 10 Pro Laptop - Intel Core i7-7500U, 16GB RAM, 256GB SSD, 14"" IPS WQHD (2560x1440) Matte Display, Fingerprint Reader, Smart Card Reader, Black Color",,1704.99,0.0,https://www.newegg.com/p/1TS-000E-07T18?Item=9SIA8TK6UR0846,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_201709071196388703.jpg
2,1TS-000E-0AF14,Computer Systems,Laptops / Notebooks,6,Lenovo,Lenovo Legion VR-Ready 15.6 FHD Gaming Laptop|| 6GB NVIDIA GTX1060 GDDR5|Intel Quad-Core i7-7700HQ|16GB RAM|256GB PCIe SSD| FHD IPS 1920x1080|Backlit Keyboard|JBL Speakers &Harman Audio| Windows 10,,1049.99,0.0,https://www.newegg.com/p/1TS-000E-0AF14?Item=9SIAEYJ88D4634,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AEYJ_131849077365454969as1p6geeEN.jpg
3,1TS-000X-00WX7,Computer Systems,Laptops / Notebooks,6,Acer America,"2019 Flagship Acer Predator Helios Gaming Laptop( Intel 6-Core i7-8750H,16GB DDR4 ,256G SSD)|15.6 FHD Widescreen IPS display 144Hz Refresh Rate|NVDIA GeForce GTX 1060 6GB|Backlit Keyboard |Windows 10",,1139.99,0.0,https://www.newegg.com/p/1TS-000X-00WX7?Item=9SIAEYJ8GH1317,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AEYJ_131877945021144565Wv80FobmAE.jpg
4,1TS-000D-05E62,Computer Systems,Laptops / Notebooks,6,HP,"2019 HP Pavilion 15.6"" FHD IPS Touchscreen Business Laptop, Intel Quad Core i7-8550U upto 4.0GHz, 16GB RAM, 256GB SSD Boot + 500GB HDD, Backlit Keyboard, WiFi, HDMI, USB-C, Windows 10, Gold",,1012.99,0.0,https://www.newegg.com/gold-hp-pavilion-mainstream/p/1TS-000D-05E62?Item=9SIAKYF9VU4482,//c1.neweggimages.com/ProductImageCompressAll300/AK1E_1_201907281825676211.jpg
5,1TS-000E-0FSS7,Computer Systems,Laptops / Notebooks,6,Lenovo,"Lenovo ThinkPad T570 Windows 10 Pro - i7-6600U, 16GB RAM, 180GB SSD, 15.6"" IPS FHD (1920x1080) Matte Display, Fingerprint Reader, Black Color",,1704.99,0.0,https://www.newegg.com/p/1TS-000E-0FSS7?Item=9SIA8TKASX0807,//c1.neweggimages.com/ProductImageCompressAll300/A8TK_1_201801051728744162.jpg
6,1TS-000E-0FSV5,Computer Systems,Laptops / Notebooks,6,Lenovo,"Lenovo ThinkPad T570 Windows 10 Pro - i7-6600U, 16GB RAM, 256GB PCIe NVMe SSD, 15.6"" IPS FHD (1920x1080) Matte Display, Fingerprint Reader, Black Color",,1704.99,0.0,https://www.newegg.com/p/1TS-000E-0FSV5?Item=9SIA8TKASX0835,//c1.neweggimages.com/ProductImageCompressAll300/A8TK_1_201801051728744162.jpg
7,1TS-000E-07FD2,Computer Systems,Laptops / Notebooks,6,Lenovo,"2017 Lenovo ThinkPad X1 Carbon 4G LTE (5th Gen) - Windows 7 Pro - Intel Core i7-7500U, 128GB SSD, 16GB RAM, 14"" FHD IPS (1920x1080) Display, Fingerprint Reader, (Classic Black)",,1704.99,0.0,https://www.newegg.com/p/1TS-000E-07FD2?Item=9SIA8TK6M31437,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A8TK_1_20170915238001060.jpg
8,1TS-000X-01T89,Computer Systems,Laptops / Notebooks,6,Acer America,"Acer Nitro 7 15.6"" Customized Gaming Laptop | 15.6"" FHD IPS Display | Intel Hexa Core i7-9750H | 16GB RAM 256GB SSD 2TB HDD | GeForce GTX 1650 4GB GDDR5 | Backlit Keyboard | Windows 10 Black",,1106.61,0.0,https://www.newegg.com/p/1TS-000X-01T89?Item=9SIAJZDAZB0033,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_202001291051814696.jpg
9,1TS-000E-0J049,Computer Systems,Laptops / Notebooks,6,Lenovo,"Lenovo Legion Y540 15.6"" Customized Gaming Laptop | Hexa Core Intel i7-9750H Mobile Processor | 16GB RAM 256GB SSD 500GB HDD |GeForce GTX 1650 4GB GDDR5 | Backlit Keyboard | Windows 10 Black",,1156.76,0.0,https://www.newegg.com/p/1TS-000E-0J049?Item=9SIAJZDB6K7039,//c1.neweggimages.com/ProductImageCompressAll300/AJZD_1_20200316596143060.jpg
