,brand,model_listing,price,shipping
0,HP,"Refurbished: HP Laptop 6470B Intel Core i5 3rd Gen 3210M (2.50 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 4000 14.0"" Windows 7 Professional 64-Bit",$284.99,$2.99 Shipping
1,HP,"Refurbished: HP Grade A Laptop EliteBook 820 G3 Intel Core i7 6th Gen 6600U (2.60 GHz) 16 GB Memory 512 GB SSD Intel HD Graphics 520 12.5"" Windows 10 Home 64-bit Multi-language",$686.99,$2.99 Shipping
2,Lenovo,"Refurbished: Lenovo Laptop P50 Intel Core i7 6700HQ (2.60 GHz) 16 GB Memory 240 SSD 15.6"" Windows 10",$538.99,$2.99 Shipping
3,DELL,"Refurbished: Refurbished Dell Latitude E6430 14"" Intel Core i5-3320M 2.6GHz 8GB 750GB DVD Windows 7 Pro 64 Bits",$319.99,$2.99 Shipping
4,DELL,"Refurbished: Refurbished Dell Latitude E6430 14"" Intel Core i5-3320M 2.6GHz 8GB 320GB DVD Windows 7 Pro 64 Bits",$299.99,$2.99 Shipping
5,Apple,Refurbished: Apple Macbook (MNYH2LL/A) 12-inch Retina Display Intel Core m3 8GB Memory 256GB SSD - Silver (Mid-2017),$829.99,$2.99 Shipping
6,DELL,"Refurbished: Refurbished Dell Grade A Latitude E6430 14"" Laptop, Intel Core i5 3rd Gen 3320M (2.6 GHz), 8GB DDR3, 250GB, DVD, Win 10 Pro 64-bit, 1 Year Warranty",$305.99,Free Shipping
7,HP,"Refurbished: HP Grade B Laptop EliteBook Folio 9470M Intel Core i5 3rd Gen 3437U (1.90 GHz) 8 GB Memory 250 GB HDD Intel HD Graphics 4000 14.0"" Windows 10 Pro 64-Bit",$217.99,$2.99 Shipping
8,Apple,"Refurbished: Apple MacBook Pro ME865LL/A Intel Core i5-4258U X2 2.9GHz 8GB 256GB SSD 13.3"", Silver (Refurbished)",$518.99,$2.99 Shipping
9,Lenovo,"Refurbished: Refurbished Lenovo ThinkPad X131E 11.6"" AMD E2 1800 1.7GHz 4GB DDR3 320GB Windows 10 Home 64 Bits 1 Year Warranty",$240.99,$2.99 Shipping
10,DELL,"Refurbished: DELL Grade A Laptop E5550 Intel Core i5 5th Gen 5300U (2.30 GHz) 8 GB Memory 240 GB SSD 15.6"" Windows 10 Pro 64-Bit",$346.99,$2.99 Shipping
11,DELL,"Refurbished: Refurbished Dell Latitude E6430 14"" Intel Core i5-3320M 2.6GHz 8GB 128GB SSD DVD Windows 7 Pro 64 Bits",$309.99,$2.99 Shipping
12,HP,"Refurbished: HP Laptop 8440P Intel Core i5 1st Gen 520M (2.40 GHz) 8 GB Memory 128 GB SSD 14.1"" Windows 10 Home 64-Bit",$234.99,$2.99 Shipping
13,DELL,"Refurbished: Refurbished Dell Latitude E6430 14"" Intel Core i5-3320M 2.6GHz 8GB 240GB SSD DVD Windows 10 Pro 64 Bits",$344.99,$2.99 Shipping
14,DELL,"Refurbished: Refurbished Dell Latitude E6430 14"" Intel Core i5-3320M 2.6GHz 12GB 750GB DVD Windows 7 Pro 64 Bits",$361.99,$2.99 Shipping
15,Acer America,"Refurbished: Acer Laptop Spin SP714-51-M024 Intel Core i7 7th Gen 7Y75 (1.30 GHz) 8 GB LPDDR3 Memory 256 GB SSD Intel HD Graphics 615 14.0"" Touchscreen Windows 10 Home (Manufacturer Recertified)",COMING,
16,DELL,"Refurbished: DELL A Grade Laptop E5550 Intel Core i5 5th Gen 5200U (2.20 GHz) 8 GB Memory 256 GB SSD 15.6"" Windows 10 Pro 64-Bit",$379.99,$2.99 Shipping
17,HP,"Refurbished: HP Grade A Laptop EliteBook 820 G3 Intel Core i7 6th Gen 6600U (2.60 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 12.5"" Windows 10 Home 64-bit Multi-language",$548.99,$2.99 Shipping
18,HP,"Refurbished: HP Grade A Laptop EliteBook 820 G3 Intel Core i7 6th Gen 6600U (2.60 GHz) 12 GB Memory 512 GB SSD Intel HD Graphics 520 12.5"" Windows 10 Home 64-bit Multi-language",$657.99,$2.99 Shipping
19,HP,"Refurbished: HP Grade A Laptop EliteBook 820 G3 Intel Core i7 6th Gen 6600U (2.60 GHz) 12 GB Memory 256 GB SSD Intel HD Graphics 520 12.5"" Windows 10 Home 64-bit Multi-language",$594.99,$2.99 Shipping
