,item_number,general_category,product_category,page_number,brand,model_specifications,current_promotions,price,shipping,product_links,image_link
0,1TS-001A-00UZ2,Computer Systems,Laptops / Notebooks,5,ASUS,"ASUS TUF705 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 64GB RAM, 2TB PCIe SSD, 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Win 10 Home) with ROG CASE , GT300 Mouse , GM50 Mouse pad",Free Expedited Shipping,2807.99,0.0,https://www.newegg.com/p/1TS-001A-00UZ2,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_201908161622343265.jpg
1,1TS-001A-00UZ8,Computer Systems,Laptops / Notebooks,5,ASUS,"ASUS TUF705 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 16GB RAM, 512GB PCIe SSD + 1TB  HDD , 17.3"" Full HD (1920x1080), ) with ROG CASE , GT300 Mouse , GM50 Mouse pad",,1979.99,0.0,https://www.newegg.com/p/1TS-001A-00UZ8,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_201908161622343265.jpg
2,1TS-001A-00UZ1,Computer Systems,Laptops / Notebooks,5,ASUS,"ASUS TUF705 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 64GB RAM, 512GB PCIe SSD, 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Win 10 Pro) with ROG CASE , GT300 Mouse , GM50 Mouse pad",,2387.99,0.0,https://www.newegg.com/p/1TS-001A-00UZ1,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_201908161622343265.jpg
3,1TS-001A-00UZ0,Computer Systems,Laptops / Notebooks,5,ASUS,"ASUS TUF705 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 32GB RAM, 512GB PCIe SSD, 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Win 10 Pro) with ROG CASE , GT300 Mouse , GM50 Mouse pad",,2147.99,0.0,https://www.newegg.com/p/1TS-001A-00UZ0,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_201908161622343265.jpg
4,1TS-001A-00UZ7,Computer Systems,Laptops / Notebooks,5,ASUS,"ASUS TUF705 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 64GB RAM, 2TB PCIe SSD, 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Win 10 Pro) with ROG CASE , GT300 Mouse , GM50 Mouse pad",,2987.99,0.0,https://www.newegg.com/p/1TS-001A-00UZ7,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_201908161622343265.jpg
5,1TS-001A-00UZ6,Computer Systems,Laptops / Notebooks,5,ASUS,"ASUS TUF705 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 16GB RAM, 512GB PCIe SSD + 2TB  HDD , 17.3"" Full HD (1920x1080), ) with ROG CASE , GT300 Mouse , GM50 Mouse pad",Free Expedited Shipping,2027.99,0.0,https://www.newegg.com/p/1TS-001A-00UZ6,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_201908161622343265.jpg
6,1TS-001A-00UZ5,Computer Systems,Laptops / Notebooks,5,ASUS,"ASUS TUF705 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 32GB RAM, 1TB PCIe SSD, 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Win 10 Pro) with ROG CASE , GT300 Mouse , GM50 Mouse pad",,2507.99,0.0,https://www.newegg.com/p/1TS-001A-00UZ5,//c1.neweggimages.com/ProductImageCompressAll300/A7AB_1_201908161622343265.jpg
7,1TS-000A-04P21,Computer Systems,Laptops / Notebooks,5,DELL,"Dell Inspiron 5575 15.6"" FHD Notebook, AMD Quad-Core Ryzen 7 2700U Upto 3.8GHz, 16GB RAM, 256GB SSD, Radeon Vega 10, HDMI, Card Reader, LAN, Wi-Fi, Bluetooth, Windows 10 Pro",Free Expedited Shipping,974.99,0.0,https://www.newegg.com/silver-dell-inspiron-5575-creating-designing/p/1TS-000A-04P21,//c1.neweggimages.com/ProductImageCompressAll300/AA0S_1_201905231282217582.jpg
8,1TS-001A-00J86,Computer Systems,Laptops / Notebooks,5,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 16GB RAM, 2TB  PCIe SSD + 1TB  HDD , 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Win 10 Home)",,1912.49,0.0,https://www.newegg.com/p/1TS-001A-00J86,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
9,1TS-001A-00J76,Computer Systems,Laptops / Notebooks,5,ASUS,"ASUS TUF TUF705DU-PB74 Gaming and Entertainment Laptop (AMD Ryzen 7 3750H 4-Core, 64GB RAM, 1TB  PCIe SSD + 1TB  HDD , 17.3"" Full HD (1920x1080), NVIDIA GTX 1660 Ti, Wifi, Bluetooth, Win 10 Home)",,2112.49,0.0,https://www.newegg.com/p/1TS-001A-00J76,//c1.neweggimages.com/ProductImageCompressAll300/V0F3_1_201905191798296115.jpg
